Swahili,English
mwaka,Year
cha,Cha
kuwa,be
yake,its
au,or
hii,This
pia,Also
kwenye,on
vya,of
zaidi,More
kutoka,from
wake,its
nchi,Country
Kwa,To
watu,People
lakini,But
wakati,time
kati,medium
kwanza,First
pamoja,together
Baada,After
mara,times
hadi,up to
sana,very
Katika,In
moja,one
miaka,Years
nyingi,many
huu,This is
ambayo,which
hivyo,So
ilikuwa,was
sababu,Reason
kubwa,Great
mnamo,on
hasa,Exactly
kazi,Work
alikuwa,was
wakazi,Residents
baada,After
tu,Only
hiyo,That
chini,down
eneo,Location
Kristo,Christ
jina,Name
yao,Theirs
ndani,inside
kila,every one
mbalimbali,Various
kawaida,Usually
inahusu,It refers to
Makala,Features
wengi,Many
upande,side
hili,This
njia,the way
hali,Status
Afrika,Africa
ili,order
lugha,Language
aina,Type
muda,Time
hata,Even
kuna,There are
Kenya,Kenya
maji,water
BK,AD
Marekani,US
serikali,Government
Mwaka,Year
vile,such
mbili,two
tofauti,Different
siku,A day
huwa,they are
zake,His
muhimu,Important
wote,All
mtu,man
lake,His
wao,They
kadhaa,Several
tena,Again
karibu,Welcome
dhidi,against
ajili,for
nyingine,Other
hizi,These
nafasi,space
Uingereza,England
ina,has
Mungu,God
yenye,with
una,you have
kuhusu,about
maeneo,Places
zote,All
mwa,Gen.
sensa,Census
vita,War
mmoja,one
sasa,Now
kutumia,Using
duniani,the world
yote,All
wengine,Others
pekee,exclusively
karne,century
Hata,Even
Wakati,Time
tatu,Third
mjini,Urban
mkubwa,Great
bila,without
mpya,New
Mji,The city
tangu,Since
pili,Second
baadaye,later
ambapo,where
kabisa,Absolutely
huko,there
mujibu,Report
kuliko,than
dunia,the world
kufanya,do
wanaoishi,living
kiwango,standard
Ulaya,Europe
wapatao,Those who are
kiasi,Amount
nje,out
idadi,Number
mwisho,Last
si,Not
walikuwa,were
biashara,Business
filamu,Film
iliyofanyika,held
tarehe,Date
Kuna,There are
habari,News
